id	name	followers
5sOVNhUf8T3jiPhvFA6T7L	Kit Chan	20155
70ht8hGTKjvbPJ37xVO9cW	Victor Wong	41953
3ioHf138TiMxYRCWmC8yJX	CoCo Lee	57339
25rFapdPzsR0PEl8dFWL3I	Mavis Fan	21858
6QYehwA9q6UQEMs1Vak0uy	Feng Ze	27475
6DuHQk8gJbyVlhajer8IuF	Nicky Lee	51336
2Vl4kZKeQslEl4P0ATWuue	Naiwen Yang	55749
4XBG26mgvzGqT09eopG4d9	Marz23	44959
0E6oEhZZtQvj811iXQFLrB	Ricky Hsiao	115298
5IxPdROZmnCyD6TBuSJMYE	Grasshopper	24228
24C7uNrWX2Iidb6X63vTGz	A-do	33199
4MMQmzYiUiuD8VwjrJu3v6	Nine Chen	113168
6PWJWwEm8BSBFAIAUWlwe4	Boon Hui Lu	39000
33ApZ6LzfimooQNIKqf4jo	Show Luo	153557
6CexlJ1wj79N50NMxRBfUa	David Lui	21482
0Awqm7GXGiBp8fJNGvywra	理想混蛋	36932
0wK3rMwogVowmeXArZN29T	金莎	14277
6qMCbcnBinopCiiCrKQlF3	Diana Wang	54596
2CBuGdj5Nmgx1VfrgLnGoJ	Xian Zi	14370
2met7Idcy1Ze7hnoUtpPmX	Nicholas Teo	64094
3LefT7hR0PJgShJNQoPns5	Zhang Yu Sheng	69120
5rEuIFwgGGp7t4b3t8ShJw	Dizzy Dizzo	15227
7Kb6okLNmQmENkjdGA2HgO	Roman Tam	27893
1JadFMFTjfKAVtOqbrgv0X	F4	43900
1DNci4XjJlglg629j3yO5n	Ella Chen	18230
3TAeauNOPNU1TP7V3nHjKY	童安格	19845
3IXhSUXNXO7Z6GnYufgpKR	Cindy Yen	10518
2P0OwKbtNXwKNEVLh4enPA	Tracy Huang	20217
5qUYuf6cIHU241KxPyDMBp	Jia Jia	118488
2oK5cSlJAH5s2Kx5e1zcvh	William So	43165
7B4GBM2vQJvwyghdsvEV77	Julia Peng	51245
39YbP9PakVwqfXFtRdn5vI	E-Jun Lee	23502
5XkrVVn0lQIVPkH55nbTgZ	R-chord	120618
02Cz717BTulFiQXUuIXH6n	Jess Lee	93799
0RaC2hXyniYsju0mCSNz90	艾薇	8760
3PI2UCRk6X5prLnFr05QQK	Li Yugang	23269
75UZxcclb8ahAZl69xMKLJ	Winnie Hsin	28265
7pAOT0acNprtWarxvyM5LZ	SKY WU	22707
1fHw35wWkpOw05sswFSl70	NICKTHEREAL	127056
7y52WmTUJZQU7m83zYfoV2	巫啟賢	34394
3w8fdvgPp2aKgy125EBgVg	玖壹壹	116218
4Do8LbyzJkI0t6c4H4DNrP	Alex To	16780
1e1i9fonmXyUGtJngqFiby	冷漠	4408
4MRQK5pLyNbcOW493n55iT	老王樂隊	95705
22eZSsFE2fxLnnC9Zga25b	黃品源	25951
468BFRg8N0wGREo2L4TXZp	Wanfang	28064
5DdhWWd83hbrWLXIVx129X	Kumachan	55461
13ILSgBPHS5T6YCFw9Pc7R	鳳飛飛	38376
39LWbzZB6lcrRviPzrAVdZ	TANK 呂建忠	19879
4x5ldH1RO3ezKX4ZVd3CUo	Amber Kuo	40730
1BZg1ebq8ftAkalzJoGq7u	Maggie Chiang	32022
1WsPqhf56l3IglxXHiCUAp	潘越雲	19220
7sEIHkZXRzGa3OBUCCxzU5	Evangeline Wong	23489
6KCusBln9NTESgcuI0DlUz	黃小琥	28701
2Z7qQ1slMaPjLOCXBqshct	Fan Yi Chen	40119
3r5bFY2H54Y0YGIDzAo1xp	Janice Yan	41110
4kVy1sDTGmCWzxmzY6soNZ	Alien Huang	60159
6aNXXIGCTxVP98Mp1lafGq	Moon Chew	8261
0Nb4cyosZVQQ5x3QxZkVJL	Chiang Yu-Heng	20292
4xlAHgZnzzPHtoKnev0gwJ	Good Band	50398
1he19XnDUahODrmRwKlC8w	Pets Tseng	33920
6ytn3LGlsoOgU3YGF9T42s	Ann Bai	31549
78IEFKJN8gQgJM1WOvt2Tl	TroutFresh	49148
40sntfyZsRwGfDgSJnxYuX	婁峻碩	57909
7In8YZ3XHuwSNUTEyIO0HA	Xiao Yu	86906
5XHBjJm3bCgQCjpnInCxfT	卓文萱	42297
3PTsVPijj4pjIol9yML0rK	Astro Bunny	53684
0HT1FqSMdbL40XGpLcLnoF	蘇慧倫	26931
1MgybycH8k36NX0Ifzlddb	Kenji Wu	63554
1YfpT6Dl8tJDmYQKWRoxjn	信樂團	36060
03jQKs4RgKZD4DpVZKCQ1K	高勝美	8669
6DWn9cu2UVLQ61pjyBHjuL	許慧欣	20378
4raETyX2cN5RazteTR1FMT	林淑容	10793
6cMRDBCHMYjyCH2D0s6uzr	Chih Siou	44727
2Ovp3J8JzCirwcGAgvK9cQ	孟庭葦	14375
5QpiOYuxf2oqst8hILxnHM	Daniel Chan	16852
6fOqdhRNsMQqtwRwgo3NUv	菲道尔	3884
5ATA3evVBAprwGeePIh72S	林慧萍	10724
1D2LuIU6rgg0MGa0l8wYJh	Yo Lee	40000
1LGJHpsAhfP1QX26plFrFn	Rose Liu	8639
5dS7yN8gXQcQNxuuVOABIk	Ariel Tsai	36017
3mEfTOV1940pc4FCYYwNIQ	小虎隊	17493
1YmWActCNjKmuIz1TSgSRx	林凡	40504
0T1grpeZ4qvXm7ALeRPKno	Where Chou	30100
0Dx75BcGd0qLi7y1kqRlad	Cally Kwong	11608
21GU61itsJIOXs64dkcwzZ	Hong Ronghong	6802
4VhiuMC32Qj7pVW3e6Nlms	Chyi Chin	20925
5ecXGNDkVKndKd0lvODR89	Daniel Lo	16441
0mVEQWHpQc30NdVqwtj8WJ	Enno Cheng	35887
3hhUgkTf3fFYGogFMbV5Wv	許光漢	10511
4t3kmZV59tEONpRUZmXjpP	邰正宵	8732
1Op5w4ztYgqOsN8KydGEfp	Zhang Qing Fang	37295
2akngaSc3QswOEJUentus9	Diana Yang	1799
3gQWDP6vxNhpyRfeOI7qV4	余天	8994
4VP44ZwK51R0y7ZbjJLHJR	DJ Didilong	37987
7hJBfmab67blVoqZBIAx13	鄧福如 AFÜ	35802
6cP65fCRmCJQejKYSnVb47	Vivian Hsu	36423
5zxmrXIwrLuSfIJM3Dz6y1	楊培安	18586
2yzqQnqgW2vrgYOzAX5LWJ	Wang Zhi Lei	4693
0tNjyz75Px29Yuf1sjs25G	Cosmos People	53427
4H9VA7rBX71lDkmODcb5u3	張芸京	10306
0XhauxEnCMq0tv24DjX5Gp	鄭怡	10535
2GzmpDXimCEph6SAw4YdNi	Yen-J	26162
7qBIgabdHdcr6NLujDxWAU	Fire EX.	57066
5Oe7RWhaAXrwGILVChIQZQ	Magic Power	63237
40e9OFBP4xVmpLccI1FYiI	Azora Chin	24018
1t2GDEW19UQvUqQXNxQcav	祁隆	3894
5FrM2NnaSCUs7aO6OtxYip	李建復	1451
388Qv4wXUnoVfxwOyGBgAE	王夢麟	1113
3KdU8KfkDy7xHmQS00B5wd	柯智棠	27414
06w51RzkHkpkp2x09REY7v	Yuki Hsu	13401
7kaq0LysuRSgBZSorlZ7Vj	Yida Huang	8696
5rG61ghWZ2R4TDvCO7d0jw	Z-Chen	26927
0rOFGXlFK59NmUCHga8oZM	李千那	32127
2deH7GtKAGqNAYCtsruIQ8	Zhao Chuan	22429
7tuUo4Kby0sTXYcctxdlYa	Young	5489
3Njp7uhQShnPMdKarS6Vsu	Tangerine Wong	1043
69P1UFKEnZf2kt5F07Kp1a	林隆璇	1105
2WhSJLdTSsN3cqiuLe44Cc	張洪量	4897
3KZMUYrA5eIfgZdIFRmNe4	Trash	25031
7aoSiqJj23B6at0hTVobbg	Joi Chua	11496
26OkmynS2y6LiuUWz3yeqT	LINION	16141
5ejbZdon0riCxa7GyJNEAx	OHMYMEITING	4402
3sHU5vwszRfnJNhvcYNZdS	Abin Fang	11810
0rG7yyjd15xAQ3Z9SK4FU3	Koala Liu	8683
1mQ2qm4xBo0bfl5NcaYdSk	Isaac Yong	1652
3n16EAnJtz6SZGx2zJssrI	Bisiugroup	69346
3LyN3dzJjv35T1XcDysnZG	Alan Kuo	19565
6FAeDq0UGuzHeLiUzz45mA	優客李林	14932
2aFNEQB9JnQ171stH9Ljh5	Grady Guan	5104
4N9mUjAWoNCkLN0kCxzaL5	小男孩樂團	34982
2DqYjQiVXvk7yFkqpVb5wX	鄭智化	10802
4snjhpqpUVLLCKkntEDye0	尤雅	10214
5OROduzvDJhGXia84G1sgI	Pan Mei Chen	13913
6RcGBK2omFMg41g8NCvnvx	張艾嘉	12333
7JY6f7uRdLtKSHbHlQXduV	Evan Yo	31516
7CEGCiUDMO8Xr257mqIJl2	Tay Kewei	3586
0Ej4GfzIcW3dWP0rC5d4x1	蕭秉治	43918
2zXcyd0DsDOxZc1nSGepMb	Shunza	15388
1n9MS5jDsiVS3x3ArntcnW	Lin Hsin Yi	41152
40eYkW0AjitO80b7Sxtnhg	劉家昌	7956
6YZFlRHjDd1gJgKP03Heyt	杨钰莹	2598
2EWl5LrZsWltRv2z9dbgH1	Jacky Wu	21918
4yo02lM1p4VBpUevDpdyX7	李代沫	5106
6uxDuPWsZwqC5tLhmoaAFZ	Joanna Dong	5630
71l6Wfk7PaTVPAOH7ln56V	Princess Ai	47983
50DjkxUjr341CAWEf6mEXS	Sandee Chan	28154
1mBonQIF1QZDg5imT6KtVT	葉啟田	14146
4zY6HuMepQgHpYcqNmBg2X	李麗芬	1110
1z3k20gEtPm6SKPGPvokDg	Kelly Cheng	2795
4N0lmmBYUAW8U4w2B94Z0g	毛寧	737
6sShbaFnqvxmlnWOJsZoI9	Maggie Fu	7839
3bnBRciC7Gz8urBu9gEQAw	Katncandix2	24235
4alN93MNQVX5AZ19q1nvI8	張鎬哲	9812
6Rv0ndBVPEQJ7KagPDtC5H	Tizzy Bac	31098
460u7AKt1ZvsPMB0zoXuAQ	Asiaboy 禁藥王 ＆ Lizi 栗子	13868
3tRKt5aIEIJqlHYnePOgc0	熊天平	7704
4vRnvRld46Z0TyLZ9xi5xE	5566	15078
5NKGqVsjoayAzsh27iGGyB	林依晨	24897
1g5sjKXQTGiui8u0iK4SeV	Eli Hsieh	28271
3taXPaRamvcogBOf10iv2X	龍飄飄	6652
7FxWYu9zvV1JyedVjsK4HO	韓寶儀	2413
0vWI4yyM1HXGoK0tkHqbGi	FS (Fuying & Sam)	8375
6tIE2F7mAqJdXOjbboUR6n	音樂磁場	9007
6JQ21JTWuZpfT06VAQObFy	WONFU	27341
31o2LJ3ZpFgb4WMZzC1gOR	Queen Wei	23205
7DlOy5eGnazhGg7iDvCCCX	Shadya Lan	20334
3YZU8HQWGJEAlNIhTK6UKT	陶晶瑩	13048
6hkP84fpANIA89Nv3T9JSm	Jocie Guo	8115
2GluLnUHh09d9sUXwpoMJu	Fang Wu	32369
5GuBMWlDG2nWafBiFSiALO	姚蘇蓉	3979
0f5x4P8SybbRdpVr4idUwd	Da Mouth	23125
1D4GTYNzBKdUrK1wyzTmyt	Sharon Kwan	9173
2MJgOrVlH5hk0kZHrwGlic	陳盈潔	4358
4AWa6pcQK9J9aSAN67cLHv	Mixer	36112
1AZC6jC2Y5aQPeMWfVAqon	Chris Yu	22263
1EQ1v4JR709tUKj3nilixC	Joyce Chu	10059
0wTiQujs5xjmaf8aWbvFoK	李碧華	5402
1R7Wis2hE4DXcTYaJsqM8J	Huang Yee Ling	30216
0OrFa364iBhAWrhJM9aOGM	劉文正	16567
2UqJqFqLbXtMZKN5QAfing	Matzka	18267
11wqbbMVEK4dBZbagPMcXl	A Niu	2453
2hJxcuFTgP89GdmCVXfXyi	Kelly Pan	10191
6Vb0GG6IpDHI2sVNZfUzvU	李茂山	5610
1cONRqlhCuf0bNtBVBm0hC	無印良品	4016
2pZzvphS66rCxKBiJCrO9y	The Freshman	5882
1BhfLtbUmju5XfwMQ9TJdQ	G.U.T.S	59768
5nbhd53CLcjfp7U8NDDzHw	鄭鈞	9069
0xVahyOCatwKqHyKLfeXwN	Derrick Hoh	7765
06eIWxoPqln2UoSboMq08H	青山	5230
5w6Yg2OtwEtizrNsLs6iFF	Shin	21760
7pMBFrWs1Eb672slCNs2E3	林良樂	3587
2dFE1oq42pvYwAuwLU8aGT	蔡幸娟	12142
5PhgLEfVYVTt25HmbczXRD	江淑娜	12115
1amc7vaeDmbwMeeyK98TOl	陳小雲	4518
5wfKP70B1SjI045dboOJIT	錦繡二重唱	2548
1mPE89PKHVtkco8Oib2zG6	潘安邦	4589
6S8MrxRafKB4y6qUz8xKCg	娃娃	5978
5rkN205Wcjl7WCmmPiSuhz	陳一郎	4689
3vt8C5pqh2fk4KaXpfSvxk	張若凡	8056
4dKTKitRcY633ohw0WHXcp	趙詠華	4683
03pYLhfpWF8iKk4p6Cm5w9	Vic Chou	7576
3B9noenUAgnsXz5UIaFBj3	Serene Koong	1736
3fFnxErl17y4fHPshVF2My	南方二重唱	12356
0gOSZqTMZTT0yd0JexHzBs	劉珺兒	1254
3q5E3Z5xIEl4vVlG93674f	蔡琴	644
34kndZkxUEzNiIEJ5DRQaO	YinShia	4963
3xelkdjxzCCqPmNznTSqtj	吳奇隆	3326
5Unr8JbXE0x6Ec8slgzSaG	永邦	1238
3epKmTu8QPqArqY6gEVfyS	Alfred Sim	1341
3mdOic6sQLr3yxovwyDoub	李心潔	8205
60Wgh8jiyETpCechtlGXM7	莊學忠	2105
06KOetaeFEz0gabCnqvCxz	Miu Chu	30672
5nnzJ1JSGdwhsMh3NthcOh	謝雷	1224
3a5LC9P4JzYWSWo6npWQsw	Amber An	16279
3anb4BMiWghyicokBR8lwm	Jane Huang	4937
1haVncLMK8OWph58XceCbG	施文彬	6392
4ccMWuTuYspEkm2gh7KrkO	黃立行	12906
5O9ygFWAMu6K0CFjqcwjZT	翁倩玉	3490
09mk8X1qeA7JlMHMSmqw7c	田震	2645
4FqyapYq1CWwiP61S8zvVy	葉歡	5343
0fuOdHhTLqYSUVOaihMjQW	李泰祥	2407
1w2bfb8QyKJRAJkvHILWVg	裘海正	1638
78NfAbd1srddKUQz4ytHWd	David Huang	5168
0LReHfcr5yFrklpWZkfZW5	葉璦菱	10026
518RcnWW9JQh3Sf9aKsAAI	李凱馨	2947
3vxULhUP4OkN0NBj3JTEU6	張玉華	798
4bliFwoYKuaWBNHMOOu72z	Teresa Tseng	925
35kc8nok9gaXp59Suw8yMB	楊燕	704
5cwsfjgk6DOGznwODBzslY	唐禹哲	12466
4e4wVXnFUIJ5EbcW9GtL2n	Soo Wincci	16175
7sxOGIcUrfCGeTe79YYutH	李佳歡	5733
2ROVqegXm2PNhexwBonDxw	LION	23307
43ZtIy51lQ1J6MPKvXkezy	四堅情WOLF (邱鋒澤、陳零九、黃偉晉、賴晏駒)	9917
0fyEIMpeJ2vjGDFCL9ylir	四葉草	16837
1LkDV2Sk3XHOORyZZNg0Kr	李娜	1535
1QwSm0I8k0yH8A5BhslJmz	Chen Li Juan	524
4ESbxCHJASfjrjNzQTsWEw	方季惟	940
